"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a10",0.00606634190271481,0.000135190464563088,0.00399984833800983,0.000561773074931309,0.00280164400592327,0.0055384547010861,0.00861527615443997,0.0150944558782143,875.376589955112,1.00015013213028
"a11",0.0203642074738048,0.000729465442630384,0.0181475612625962,0.000611502588336288,0.00624727288746039,0.0145195026135753,0.03048577343098,0.0656813216867966,618.909425996868,1.00038420731739
"a20",0.00339886935863565,8.16399768503987e-05,0.00242699355084398,0.000215970459114556,0.00153917319013068,0.0029527217958607,0.00472214127727669,0.00910819987574651,883.754216344087,1.0016078663701
"a21",0.016446796374628,0.000844402768079563,0.0154692505196845,0.000395688825950452,0.0049788073810477,0.0115933484797381,0.0227619562275644,0.0591467867956027,335.613366293895,1.00368465280563
"p0",0.832601644229261,0.000680910851717403,0.0371674452075564,0.753700080015856,0.808866159346463,0.83416777102279,0.85852711795815,0.896127890000656,2979.51041940982,0.999483799242522
"p1",0.107890647316342,0.000543755016125929,0.0308388855198634,0.0551136336056364,0.085495753741579,0.105958579968332,0.128355788476074,0.173984487545381,3216.55363038045,0.999751045963744
"p2",0.0595077084543966,0.00043920023484153,0.0235784361366769,0.0231675858943025,0.0418130703725926,0.0559239116177214,0.0736985842751777,0.113954235118384,2882.07226483308,0.99983195605203
