"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a10",0.00548267280332483,0.000240578737132546,0.00242944550218624,0.000668400186102916,0.00355326193319862,0.00559044436466813,0.00761040619578618,0.00921148106198829,101.976438674057,1.03679871157688
"a11",0.0155716816243822,0.00162437352456976,0.0145316369803425,0.000629772624205793,0.0048590424804129,0.0117353801902852,0.021852299587521,0.0588535730146714,80.0308215989301,1.06214065385878
"a20",0.00199843400657815,7.20391640464648e-05,0.00104175303445335,0.000177392039447737,0.00112560220353056,0.00205034896098091,0.00291044532372499,0.00359573784925117,209.11838642845,1.01472200884486
"a21",0.0149186548473695,0.00121756915022226,0.0142968028344717,0.000216664451814819,0.00403422303123942,0.0104245393225079,0.0213385500863105,0.0548531801696665,137.876606036341,1.02381552883626
"p0",0.877140789822306,6.38523760660349e-06,0.000328993727101969,0.87647381938137,0.876920586895459,0.877143344999969,0.87736557221842,0.877782380912337,2654.73459367989,0.999382620339903
"p1",0.0887769864896121,6.01946767270556e-06,0.000293934072997427,0.0882042152983682,0.0885839745324501,0.0887768344126163,0.0889788167379293,0.0893550735827741,2384.42514155398,0.999456187427309
"p2",0.034082223688082,3.36539387243479e-06,0.000180954982499671,0.0337282381710654,0.0339628003990817,0.0340804512182687,0.03420037513371,0.0344465968316013,2891.14112961461,0.999282041908613
