"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a10",0.00549213563963164,0.000144771511482768,0.00247137854957222,0.00117990230132644,0.00344438994332838,0.00546525580820717,0.00757693655348908,0.00979733069642331,291.415285843991,1.01266846273505
"a11",0.0154737199375188,0.000804793492668939,0.0124505410967831,0.000478065479064672,0.00538413434533899,0.0125533849377936,0.0227007273954854,0.0466615866046435,239.335730835661,1.01823950095906
"a20",0.00195217006833464,5.70978748059062e-05,0.00109265564572305,0.000111592951069438,0.00101866981245745,0.00198542778542163,0.00286453070815121,0.00381317987052458,366.207083126835,1.01093123280149
"a21",0.0167844516309394,0.00129323838904862,0.0172268289354006,0.000353008525983588,0.00479674433775683,0.0112267283911424,0.0234436663594969,0.0640936526807293,177.440808007713,1.02521068897345
"p0",0.874756686402988,0.00012608704116728,0.00654529452108204,0.861249722952431,0.870326037485613,0.874825185970042,0.879248278404182,0.88741463092321,2694.7437914658,0.999615480221129
"p1",0.0904716974230164,0.000109817023775292,0.00564101219174204,0.0797953571951433,0.0865365044962648,0.0903573829208047,0.0943004504663816,0.101509381004551,2638.60716770194,0.999811445775629
"p2",0.0347716161739952,7.13789282228429e-05,0.00366534305076507,0.027832016052784,0.0323139801636107,0.0347426452193663,0.0370591821645271,0.0421495008393599,2636.87298272865,0.99919781824032
