"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a10",0.00556888946156904,0.000398826739043901,0.00259710086017793,0.000710313894909799,0.00347993348043914,0.00587533259293863,0.00765772354070754,0.00961543943031943,42.4042217561488,1.06404171414554
"a11",0.0166391793446747,0.00293479696275557,0.0169955592413068,0.000363496836163529,0.00541703025181078,0.0112797579378176,0.0226066369621952,0.0581118807452341,33.5362730869581,1.06805471340311
"a20",0.00181104103375565,0.000146134420704556,0.00112967101329332,0.000157937661862613,0.000813178527614603,0.00180005935675606,0.00277197990246117,0.00372068302137523,59.7583951471264,1.06693152024995
"a21",0.0192063649472873,0.00295072911212204,0.0176968957236345,0.000339250134333122,0.00537816937617228,0.0131506030481699,0.0276705023772557,0.0575860979637643,35.9695910978136,1.10250886831908
"p0",0.873923249330596,7.00326007663255e-05,0.00338949298198172,0.867021889556613,0.87177196766468,0.873933114523501,0.876128099360293,0.88051359130449,2342.44265831206,1.00118710605362
"p1",0.091088343052428,6.80917247217336e-05,0.00292794550981906,0.0855417331516832,0.0890692505559572,0.0911087791884236,0.0930100368185527,0.0968122378997545,1849.00170099224,1.0040112099846
"p2",0.0349884076169758,3.59681399498062e-05,0.00184187118034557,0.0315704848178033,0.0337163103198997,0.0349812161308284,0.036226183462826,0.0386845283114677,2622.301035073,1.00090481649417
