"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a10",0.00585711132524244,0.000126811721423367,0.00211773471828466,0.00213823033770132,0.00403403276242222,0.00588991552492052,0.00772082621863444,0.00923251159327229,278.884461227061,1.01435279550339
"a11",0.0121820145362679,0.000596214928146972,0.00920399732457964,0.0003289606014725,0.004363764068976,0.0103551575249635,0.0187463046888946,0.0327096249551683,238.312748756183,1.01900467792353
"a20",0.00186710736010554,4.48152091615345e-05,0.000985317549636583,0.000229825865620036,0.00100819615118564,0.00184595552606379,0.00272219602450979,0.00352167430839753,483.39436211957,1.01301578523551
"a21",0.0155871378644875,0.000645350163069736,0.0132581372149579,0.000339863131404385,0.00503427658326985,0.0120531055716373,0.0230601510409473,0.0499950696024345,422.059976674784,1.01286850193383
"p0",0.878379908419059,1.20408715543919e-05,0.000662446709522726,0.877032058498183,0.877941444741305,0.878398407907372,0.87882691937769,0.879653917738993,3026.81618288565,0.999520921671697
"p1",0.0879582855843761,1.03366534718292e-05,0.000573381963579897,0.0868672360800994,0.0875724998700642,0.0879447888341668,0.0883274103748567,0.0891270866282503,3077.00456715374,0.999990537064078
"p2",0.0336618059965649,6.70626975931558e-06,0.000358791121435685,0.0329743800038728,0.0334144027974573,0.0336670597796682,0.0339009311150774,0.0343761200007959,2862.34077494116,0.999765658498685
