alpha,Bias,MSE,n_eff,Rhat
a01,0.00597345725990234,3.65987563275231e-05,438.181106483011,1.00133046469911
a11,0.0109465029186267,0.000164971250993012,480.647455565692,1.00109892179888
a20,0.00043901104361043,3.01165719185246e-07,471.828859996639,1.00169452868568
a21,0.0208217051408875,0.000636074405180212,483.680032405143,1.00143633472159
