alpha_id,Bias,MSE,n_eff,Rhat
a01,0.0340560373471705,0.0013340943938508,113.37357572173,1.0079295751368
a11,0.025432214299285,0.00073514158122542,132.914033663976,1.00693684215823
a20,0.0141851270146441,0.000244198525686784,144.508652191844,1.00615003935089
a21,0.0453704344183744,0.00221070386140303,143.433864631866,1.00660428069799
