"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a10",0.00504189226746928,0.000114750515082241,0.00268342419504334,0.000302893252203919,0.00283986522689503,0.00501924909168136,0.00736331579962095,0.00955641781000285,546.851459131967,1.00403045686447
"a11",0.0198139763977688,0.00127407329091366,0.0194574015288686,0.000660794684511141,0.00578677215074749,0.0143163515390787,0.027066346998525,0.0764951334125721,233.228092070195,1.00911496680256
"a20",0.00204614442085487,4.42128826962425e-05,0.00106394006284112,0.000144147609325906,0.00120016367820594,0.00202945866290344,0.00290380043821276,0.00394646817891028,579.077460651143,1.00262696692011
"a21",0.0148024169127401,0.000617826070481482,0.0145395688928485,0.000386556480734981,0.00418683214161396,0.010659721921779,0.020507416541531,0.0581943863185992,553.822503619953,1.0023441390313
"p0",0.874984410004519,0.000122716956502823,0.0067407403037904,0.861473660970103,0.870555001593611,0.874952602229989,0.879500875352182,0.888369387582866,3017.213482489,0.999200432991562
"p1",0.0902113894113222,0.000103185980517648,0.00577345301375359,0.0789865406846236,0.0863382413095055,0.0900482772904989,0.0940659806404917,0.101979740268857,3130.61657813132,0.999093252956191
"p2",0.0348042005841591,6.86306268955402e-05,0.00379676151120429,0.02777141063296,0.0321555873880053,0.0346627444795222,0.0372122760637117,0.0426385586651765,3060.48816821808,0.999282926612015
