"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a10",0.00622659550108468,0.0001662845131689,0.00404048567133297,0.000191512533578199,0.00304193653466528,0.00575568452143083,0.00879818414009466,0.015357732074155,590.423364673611,1.00806572110777
"a11",0.0211075772392497,0.00193011345480669,0.02285493901768,0.000559347094545624,0.0057339054993832,0.0139625038330353,0.0279844386754151,0.0903322800678604,140.214993843067,1.02523268209894
"a20",0.00339141132101851,7.9972895930751e-05,0.00238384816141062,0.000197017840913873,0.00151031740754286,0.00303393776695488,0.00475359553420099,0.00908976715238761,888.52885054993,1.0020183888541
"a21",0.0166339086896865,0.000746424091340291,0.0165423662162486,0.000346167530459708,0.00475798838739354,0.0114970600480087,0.0234969650216455,0.0615410691882012,491.161102856354,1.00498531951813
"p0",0.833309168799312,0.000674271606738912,0.0363581519232642,0.755585170332912,0.808786683768453,0.835294821932225,0.859570813275737,0.896533877668523,2907.5946145791,1.00201465010741
"p1",0.107736431760517,0.000576547476953573,0.0302830529462036,0.0561466371338126,0.0854889673715497,0.105064126955709,0.127420682878295,0.172561066964284,2758.85680672716,1.00212617720805
"p2",0.0589543994401709,0.000401043808835398,0.022274868558524,0.0230470347230997,0.0429534616132845,0.0562575807531505,0.0723329776531528,0.109188679371045,3084.93961476732,0.999955354032932
