"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a10",0.00526048856136943,0.000116031462248833,0.00248351415693305,0.000652986109514002,0.00317080259710541,0.00563201930224666,0.00725458018430607,0.00911033348227392,458.122634241577,1.00092535692456
"a11",0.0168105442072133,0.000821717172650604,0.0155392055929268,0.000701595298044122,0.00571988282491528,0.011347342554487,0.0240783600559291,0.0591952505374194,357.61267154481,1.00174487574483
"a20",0.00194084315949066,4.34358587285742e-05,0.00100453653898867,0.000171958700383511,0.00113267996160774,0.00203655714891812,0.00277076332438381,0.00354035143366346,534.85326695073,1.00344034209515
"a21",0.0153811145183458,0.00076380786423685,0.0151999439028367,0.000268168436350172,0.00466404143841687,0.0103033375802597,0.0210713305996549,0.0551754738688564,396.018723053315,1.00829101385707
"p0",0.878390668794217,1.2004159469115e-05,0.00065256824313225,0.877085959588216,0.877981143615293,0.878391466027351,0.878834317126614,0.879669198224932,2955.21007149712,0.999461695378413
"p1",0.0879445380179517,1.0342883718087e-05,0.000569802713007816,0.0868339615037795,0.0875711934151849,0.0879497664890878,0.0883137445847577,0.0890793330222404,3035.04923949762,0.999231869982827
"p2",0.0336647931878311,7.52634920772302e-06,0.000361959784044182,0.0329584672855759,0.0334210747165737,0.0336610824599691,0.0339014495447183,0.0344115448108686,2312.87366492692,0.999518878976304
