"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a10",0.00559396756353985,0.000145009874885911,0.00260502706311533,0.000934067992101048,0.00348571725179417,0.00571263426997207,0.00803737180196902,0.00958949313266413,322.722558004547,1.03144642881609
"a11",0.0158546781913232,0.000654780508295891,0.0143341854352662,0.000432640976472541,0.00417365153535838,0.0116284660276943,0.0227001231974382,0.0520149750076202,479.24164637341,1.02439627968928
"a20",0.00197358275941656,8.58972377532432e-05,0.00107336836244782,5.68517076667829e-05,0.00109387523267578,0.00207764583523956,0.00285910316150249,0.00371425745973059,156.148991699201,1.0224155684135
"a21",0.0173862305007569,0.00266397167421265,0.019480873244345,0.000490657705601635,0.00481406839176257,0.0105057278729784,0.0221544710332294,0.0765509872599079,53.4758425208034,1.05188204062632
"p0",0.874032975062414,6.99089578082556e-05,0.00335588841861019,0.867612266443753,0.871692037609573,0.874049407754396,0.87639330512698,0.880413318510017,2304.35491247969,1.0013229301634
"p1",0.0909929212083938,6.20128375102059e-05,0.00291654635396312,0.0853671297418388,0.0889448221370765,0.0910154515182821,0.0930293466791121,0.0964694559936459,2211.94619691215,1.00091979863629
"p2",0.0349741037291926,3.33694268740821e-05,0.00181305133703367,0.0315493873471305,0.0337138601814538,0.0349391606940345,0.0361595010394944,0.0385998917030279,2952.04319299086,1.00044500664207
