"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a10",0.00509959324683275,0.00012054614467386,0.00263191794024704,0.000577744108259998,0.00283761634955337,0.00522629450471676,0.00734392144024136,0.00929245708757635,476.692191868529,1.01730517983278
"a11",0.0183664160942536,0.000728020865448787,0.0166128263714222,0.000437661280599333,0.00568765536884641,0.0132561340928901,0.0268238942677578,0.0622691654672702,520.714173399725,1.01843293368215
"a20",0.00196438320058768,4.64471966611688e-05,0.0010374004214419,0.000118807415449829,0.00109988328050677,0.00206581199695188,0.00288956302512582,0.00354808785660039,498.854421624468,1.01024759646588
"a21",0.0159273782132889,0.000789441717701202,0.0164010049013366,0.000451979005601994,0.00417828612143704,0.0103071715963721,0.0216931371678683,0.0622103098752929,431.619215715968,1.01029612091088
"p0",0.877116161459007,6.16909310594454e-06,0.00033153097844494,0.876492129788597,0.876889477053989,0.877114919581161,0.877343177970531,0.877790539880525,2888.0558076462,1.00015513652199
"p1",0.0887939894129161,5.55602939129185e-06,0.000288759633860075,0.0882140102006269,0.0885912663187159,0.0887916480094474,0.0889958812946549,0.089351453158929,2701.12010810908,1.00000254685459
"p2",0.0340898491280774,3.54840572962909e-06,0.000182292703714983,0.0337373550617764,0.0339609028466112,0.0340888590261267,0.0342197094449458,0.0344502253520369,2639.19833757051,0.999740655550059
