"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a10",0.0383026839368744,0.000759458105207291,0.0208339008202437,0.00464664722327709,0.0199464949210123,0.0378974803382807,0.0560454116708154,0.0735340341659542,752.546849472425,1.00848737073855
"a11",0.0200849051982034,0.000667821435324573,0.0172237935835892,0.000740582139612042,0.00676490872823078,0.0152995411799104,0.0296684900918561,0.0623399923090976,665.176526393704,1.00702408109133
"a20",0.0152300194702129,0.000288308390246464,0.00774455396924625,0.00158495684089563,0.00917213846001715,0.0151223628192639,0.0217313854976539,0.0283337171071776,721.569651011833,1.00252595987801
"a21",0.015375209653589,0.000515698775666765,0.0139846474641748,0.000571827295072587,0.00510014708946893,0.0117500734964472,0.0208758134669244,0.0527082553321859,735.378358688798,1.00094855920286
"p0",0.351963069296267,0.000176410601900566,0.00935832712241652,0.33347154645365,0.345830298027271,0.351791804243383,0.358024917019553,0.369964969271604,2814.1489499732,0.999451172972301
"p1",0.469241020829843,0.000183333792872845,0.00994992288389933,0.449770658095287,0.462355087209504,0.469437968623538,0.475773817293216,0.489605491264698,2945.46850184819,1.00028913951762
"p2",0.178795909873889,0.00014070803814538,0.00764810810166773,0.164336154999899,0.173506477216979,0.178603981299121,0.183930221227178,0.194237958857288,2954.4062948297,0.99982508676459
