"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a10",0.0394561079104387,0.000941726851335204,0.0203135323102251,0.00438819869778665,0.0227133927254438,0.039757062035313,0.055918994738017,0.0741443052203246,465.287077858035,1.00953058458527
"a11",0.0190557881036627,0.00085109175655045,0.0167339361680369,0.000476799721504846,0.00674186962215309,0.0143016895946042,0.0267538999448377,0.0633070663586896,386.583619455199,1.01262678663337
"a20",0.0150414580148883,0.000383791949430623,0.00797800724690859,0.00143401294661997,0.00831367791660936,0.0146839505227795,0.021919105199988,0.0281885521745901,432.112800679693,1.00687864718861
"a21",0.0159782403620898,0.000799283000000422,0.0146018750507299,0.000487767468658906,0.00505609404579252,0.0123346831992014,0.0226670482097104,0.054658380645263,333.746026348701,1.00906614702366
"p0",0.35123383986254,1.69745114641478e-05,0.000933230132803544,0.349420053568277,0.350623461730604,0.351237586204506,0.351860598673759,0.353085150539071,3022.61573275264,0.999379571189758
"p1",0.469494485148629,1.81585731304299e-05,0.000994002070111646,0.467583688136743,0.468801848908167,0.469500759113125,0.470160493760472,0.471468460395972,2996.47831344471,1.00030777331261
"p2",0.179271674988831,1.39947383304941e-05,0.000774698518267504,0.177804544508088,0.178739574117369,0.179257927912145,0.179807793679321,0.180752075455433,3064.33248726445,1.00008507425026
