"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a10",0.0377209594829699,0.000878444216192442,0.0203483121270514,0.00383087220965533,0.0206004681814021,0.0376309527425315,0.0547092974545732,0.0726514975200649,536.572494150758,1.00128705774236
"a11",0.0204960928853567,0.000818496601263229,0.0172745196905632,0.000940430776915896,0.00725806069539654,0.0155348553842647,0.0289582800332781,0.0663161353112958,445.428704907762,1.00260716828944
"a20",0.0153123203774797,0.000363426697209163,0.00801024680709336,0.00132244091308011,0.00879635078470019,0.0153183422119481,0.0222416976291598,0.028507168572582,485.800704734775,1.00288963353343
"a21",0.0160420211024975,0.000863719864157604,0.0152967019930749,0.000518062671560442,0.00499904942997259,0.0117920778433189,0.0218431683949242,0.0562175527015926,313.653253153763,1.00896630120274
"p0",0.34947200643208,8.91917892944702e-06,0.000481903347767132,0.348536576129978,0.349140700444963,0.349466462650155,0.349787888590058,0.350451384449026,2919.24223523476,0.999776056760569
"p1",0.469237459498666,1.0228520625666e-05,0.000509751573329607,0.468229538571324,0.468893087816504,0.469243687230929,0.469590118586496,0.470223464893672,2483.65631896558,0.999236163531401
"p2",0.181290534069254,7.40498267335262e-06,0.000386993184302523,0.180530372462421,0.181029052437883,0.181292659791694,0.181548665507636,0.182034175245661,2731.23166775958,1.00042315908616
