"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a10",0.0344284422021073,0.00076236641337244,0.0198226985037857,0.00235229408194839,0.0178918819713275,0.0340491389411829,0.0503263864719309,0.072762500424352,676.079926289037,1.00398349343645
"a11",0.0206010069338148,0.000783343921432367,0.0192601325029019,0.000523721462940571,0.00638100689403505,0.0149101618453858,0.0292337941086485,0.0735432784215411,604.524053405234,1.00403325433514
"a20",0.0184966820879918,0.000386019074095527,0.0110197621944528,0.000781351073138513,0.0093163232708512,0.0183836042601793,0.0263507347899941,0.0410690454429551,814.942403383288,1.00490671101432
"a21",0.0166048851141256,0.0007676049852605,0.0175651267847011,0.000318810895729813,0.00449927535186366,0.0109333281711798,0.022833669731905,0.0686745739795377,523.632995134957,1.00746593120063
"p0",0.362794183901468,0.000852811770676562,0.0470341023350666,0.270419700485948,0.331001891237188,0.362702593998409,0.393977322488521,0.45467816725813,3041.72080021677,0.999673148739932
"p1",0.42040538773567,0.000940505609924322,0.0497780656102285,0.326563299531936,0.385538191165322,0.420006637914645,0.454051095018389,0.517791658813222,2801.25890955701,0.999431517619931
"p2",0.216800428362862,0.000777543729777983,0.0415021275372835,0.140644889740609,0.187945750589853,0.215178299638438,0.243723113644364,0.302132092693685,2848.99098039499,1.00091464222795
