"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a10",0.0388274167162263,0.000834870846199861,0.0204670789954072,0.00575728977985804,0.0214191297211131,0.0388956761812393,0.0558010746587835,0.0742635668212975,600.998156945362,1.00293104317507
"a11",0.0196868131142057,0.000685705808162688,0.0161359388899769,0.000709895621807724,0.00713861166199967,0.0152122670574088,0.0282778017205737,0.0574728048775387,553.748833907467,1.00547060699609
"a20",0.015557278109615,0.000346932456385457,0.00850122233024062,0.00112933933799263,0.00813388606747072,0.0155911791819454,0.0234069859530997,0.0286607003570491,600.44452131503,1.0010987752165
"a21",0.0163059718941057,0.000793881952181538,0.0165433623664397,0.000340818445610382,0.00407730092929279,0.0114482122726474,0.0232192251961585,0.059448213829741,434.245880693479,1.00144474836962
"p0",0.346295793493602,9.22655632853395e-05,0.00481543774311949,0.336588950966138,0.34312645835759,0.346302328705268,0.34962291426381,0.355717234942944,2723.90696312928,0.999572209696929
"p1",0.473280715137702,9.65264022451892e-05,0.00497286297728398,0.463534682572024,0.469938510202917,0.473231265103011,0.47654723767089,0.483059203566127,2654.12117505563,0.999742422201402
"p2",0.180423491368697,7.02983906247647e-05,0.00382057747817129,0.173148175490858,0.177811330287531,0.180325780233496,0.182927444364998,0.187997970204449,2953.70594590553,1.001242988339
